iter	Passed	Remaining
0	0	514
1	1	508
2	1	434
3	2	368
4	2	335
5	2	303
6	2	291
7	3	287
8	3	283
9	4	292
10	4	284
11	5	294
12	5	298
13	5	290
14	6	287
15	6	284
16	7	284
17	7	283
18	7	280
19	8	272
20	8	268
21	8	274
22	9	272
23	9	270
24	9	266
25	10	263
26	10	263
27	10	263
28	11	261
29	11	261
30	12	260
31	12	258
32	12	257
33	13	261
34	13	260
35	13	257
36	14	255
37	14	254
38	15	258
39	15	257
40	15	256
41	16	256
42	16	255
43	17	258
44	17	254
45	17	253
46	18	252
47	18	250
48	18	249
49	19	250
50	19	249
51	19	248
52	20	246
53	20	245
54	20	244
55	21	244
56	21	246
57	22	244
58	22	244
59	22	244
60	23	244
61	23	244
62	24	244
63	24	243
64	24	242
65	25	241
66	25	240
67	26	241
68	26	240
69	26	240
70	26	239
71	27	238
72	27	236
73	28	237
74	28	236
75	28	235
76	28	234
77	29	233
78	29	233
79	30	233
80	30	232
81	30	232
82	31	232
83	31	231
84	31	230
85	32	230
86	32	231
87	33	230
88	33	229
89	33	229
90	34	229
91	34	230
92	35	230
93	35	229
94	35	228
95	36	228
96	36	228
97	37	228
98	37	227
99	37	226
100	38	225
101	38	225
102	38	225
103	39	224
104	39	223
105	39	223
106	40	222
107	40	221
108	40	221
109	41	220
110	41	220
111	41	219
112	42	219
113	42	218
114	42	218
115	43	219
116	44	220
117	45	222
118	45	223
119	46	224
120	47	225
121	47	225
122	48	226
123	48	226
124	49	226
125	49	227
126	50	227
127	51	228
128	51	228
129	52	228
130	52	229
131	53	230
132	54	232
133	55	232
134	55	233
135	56	233
136	56	233
137	57	233
138	58	234
139	59	236
140	59	237
141	60	236
142	60	237
143	61	238
144	62	238
145	62	237
146	62	236
147	63	235
148	63	235
149	63	234
150	64	234
151	64	233
152	65	233
153	65	232
154	66	232
155	66	231
156	66	230
157	66	229
158	67	229
159	67	228
160	68	227
161	68	227
162	68	226
163	69	225
164	69	225
165	69	224
166	70	224
167	70	223
168	70	222
169	71	222
170	71	222
